Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_03280	2306	1215	1122	150	135	137	887	808	694	247	255	280	528.49	796	261	0.327	-1.613	1.35684575015889e-21	2.08985082927882e-20	0.0098	0.0232	0.0167	0.0167	TRUE	0.1408
CNAG_01368	528	600	1026	17	10	15	203	399	634	28	19	31	218.98	412	26	0.063	-3.994	1.85276508654853e-21	2.83435417416238e-20	0.1872	0.0358	0.0905	0.0905	TRUE	0.0669
CNAG_07346	15025	8289	8421	1414	1369	1336	5779	5513	5205	2327	2588	2733	4024.29	5499	2549	0.463	-1.11	2.52573279009023e-21	3.82928212940525e-20	0.0042	0.0155	0.0095	0.0095	TRUE	0.0707
CNAG_02788	2071	1130	1329	185	168	142	797	752	821	304	318	291	547.03	790	304	0.385	-1.376	2.7640620474336e-21	4.17194843996826e-20	0	0.0229	0.0118	0.0118	TRUE	0.0212
CNAG_02413	11934	5906	6484	1184	977	815	4590	3928	4008	1949	1847	1667	2998.19	4175	1821	0.436	-1.197	2.83822323674818e-21	4.27436419454276e-20	0.0062	0.0159	0.0109	0.0109	TRUE	0.0926
CNAG_00681	2984	2320	2312	283	245	248	1148	1543	1429	466	463	507	926.03	1373	479	0.349	-1.52	2.84924368876178e-21	4.28144666934336e-20	0.0134	0.0194	0.0164	0.0164	TRUE	0.2533
CNAG_02115	5661	2356	2529	342	294	297	2177	1567	1563	563	556	608	1172.3	1769	576	0.325	-1.622	3.00706364867826e-21	4.50859963431251e-20	0.0194	0.0183	0.0194	0.0194	TRUE	0.4981
CNAG_07778	15676	9321	10402	1850	1736	1578	6029	6199	6430	3045	3282	3229	4702.26	6219	3185	0.512	-0.966	3.12292311489872e-21	4.67197570632861e-20	9e-04	0.0153	0.0072	0.0072	TRUE	0.0181
CNAG_01213	6117	3987	4259	733	616	587	2353	2652	2633	1206	1165	1201	1868.16	2546	1191	0.468	-1.096	6.47136315295441e-21	9.55477736112681e-20	0.0026	0.0168	0.0089	0.0089	TRUE	0.0541
CNAG_00482	8956	4972	4996	900	834	803	3445	3307	3088	1481	1577	1643	2423.41	3280	1567	0.477	-1.066	1.24665361586506e-20	1.82081283506843e-19	0.0021	0.0162	0.0088	0.0088	TRUE	0.0319
CNAG_00026	10010	6058	6836	1205	1107	926	3850	4029	4225	1983	2093	1895	3012.54	4035	1990	0.493	-1.019	1.99204913613296e-20	2.85257451229188e-19	0.0018	0.0159	0.0082	0.0082	TRUE	0.0241
CNAG_01264	13369	5897	7014	1002	894	951	5142	3922	4335	1649	1690	1946	3114.07	4466	1762	0.394	-1.343	2.02703788601391e-20	2.89204963231921e-19	0.0132	0.0158	0.0146	0.0146	TRUE	0.2143
CNAG_06095	92296	30666	37671	3174	3676	3767	35498	20396	23285	5224	6950	7707	16509.93	26393	6627	0.251	-1.994	2.4751148719626e-20	3.51653112941102e-19	0.0644	0.0146	0.0334	0.0334	TRUE	0.7153
CNAG_04168	8851	5380	5240	1010	923	835	3404	3578	3239	1662	1745	1708	2556.17	3407	1705	0.5	-0.999	3.86275328146014e-20	5.45372478926153e-19	0.0015	0.0161	0.0079	0.0079	TRUE	0.0234
CNAG_03109	8074	5572	6176	970	810	774	3105	3706	3817	1597	1531	1584	2556.7	3543	1571	0.443	-1.173	4.232942370951e-20	5.93926510309212e-19	0.0066	0.0161	0.0111	0.0111	TRUE	0.1433
CNAG_04584	10453	6349	7188	1339	1128	1013	4020	4223	4443	2204	2133	2073	3182.5	4229	2137	0.505	-0.985	4.53382061117862e-20	6.33519634679536e-19	0.0016	0.0158	0.0078	0.0078	TRUE	0.024
CNAG_00797	17847	9963	9251	1689	1563	1519	6864	6626	5718	2780	2955	3108	4675.23	6403	2948	0.46	-1.12	5.70519207324219e-20	7.93923751136804e-19	0.0056	0.0153	0.0104	0.0104	TRUE	0.1069
CNAG_06352	3822	2683	2726	445	342	316	1470	1784	1685	732	647	647	1160.82	1646	675	0.411	-1.284	6.05377314172438e-20	8.38986105960452e-19	0.0071	0.0183	0.0127	0.0127	TRUE	0.108
CNAG_03722	21893	11433	11700	2218	2095	1837	8420	7604	7232	3651	3961	3758	5771	7752	3790	0.489	-1.033	6.72527168560979e-20	9.28251857706264e-19	0.0036	0.0151	0.0089	0.0089	TRUE	0.0697
CNAG_06879	2746	1671	1759	264	243	246	1056	1111	1087	435	459	503	775.33	1085	466	0.429	-1.222	7.16388278626897e-20	9.86781171596438e-19	3e-04	0.0204	0.0107	0.0107	TRUE	0.054
CNAG_07327	1384	793	836	119	98	87	532	527	517	196	185	178	355.93	525	186	0.355	-1.493	7.36152159475146e-20	1.01194790765985e-18	0	0.0275	0.0138	0.0138	TRUE	0.0206
CNAG_00393	11629	7780	5915	654	729	802	4473	5175	3656	1076	1378	1641	2899.79	4435	1365	0.308	-1.701	8.14583485984624e-20	1.11749641387e-18	0.0354	0.0159	0.0244	0.0244	TRUE	0.1402
CNAG_05269	8069	4917	5779	914	830	808	3103	3270	3572	1504	1569	1653	2445.4	3315	1575	0.475	-1.074	8.17065135410713e-20	1.11863644902594e-18	0.003	0.0162	0.0093	0.0093	TRUE	0.056
CNAG_04805	3213	1986	2218	349	296	299	1236	1321	1371	574	560	612	945.56	1309	582	0.444	-1.17	9.12256928275891e-20	1.24393666054843e-18	0.0019	0.0193	0.0101	0.0101	TRUE	0.0297
CNAG_05932	22113	7899	9857	1138	1168	1054	8505	5254	6093	1873	2208	2156	4348.14	6617	2079	0.314	-1.671	1.03997515592471e-19	1.41240714062159e-18	0.0358	0.0154	0.0239	0.0239	TRUE	0.4031
CNAG_04230	3681	2291	2545	417	338	347	1416	1524	1573	686	639	710	1091.31	1504	678	0.451	-1.148	1.09760765527651e-19	1.48769741596178e-18	0.0021	0.0186	0.01	0.01	TRUE	0.0326
CNAG_02901	4815	2294	3132	321	297	358	1852	1526	1936	528	561	732	1189.31	1771	607	0.342	-1.546	1.32625653285732e-19	1.79044631935738e-18	0.0221	0.0182	0.0193	0.0193	TRUE	0.363
CNAG_05425	18193	11571	12266	2320	2121	1790	6997	7696	7582	3819	4010	3662	5627.58	7425	3830	0.516	-0.955	2.44251421137861e-19	3.25844858474663e-18	0.002	0.0151	0.0078	0.0078	TRUE	0.0312
CNAG_07746	20426	13175	14003	2602	2162	1744	7856	8763	8655	4283	4087	3568	6202.05	8425	3979	0.473	-1.082	2.73803772462015e-19	3.63836895289231e-18	0.0058	0.0151	0.0102	0.0102	TRUE	0.0985
CNAG_00894	17516	11496	12981	2223	1879	1824	6737	7646	8024	3659	3552	3732	5558.26	7469	3648	0.488	-1.034	2.86959385824555e-19	3.80572163939923e-18	0.0039	0.0151	0.0093	0.0093	TRUE	0.0902
CNAG_01586	32970	19050	18933	3948	3626	3183	12681	12670	11703	6498	6855	6512	9486.49	12351	6622	0.536	-0.899	2.96902303305193e-19	3.92989630761581e-18	0.0013	0.0148	0.0071	0.0071	TRUE	0.0258
CNAG_00445	9494	5614	4551	824	761	644	3651	3734	2813	1356	1439	1318	2385.15	3399	1371	0.403	-1.31	4.01859835646309e-19	5.29845156843392e-18	0.0115	0.0163	0.0147	0.0147	TRUE	0.2773
CNAG_06755	15745	9413	9651	1909	1771	1642	6056	6261	5965	3142	3348	3359	4688.55	6094	3283	0.539	-0.892	6.74148575240811e-19	8.802899603867e-18	7e-04	0.0153	0.007	0.007	TRUE	0.0173
CNAG_03976	3168	1767	2015	340	310	267	1218	1175	1245	560	586	546	888.52	1213	564	0.465	-1.105	9.77816593608303e-19	1.27191229460335e-17	0	0.0196	0.0094	0.0094	TRUE	0.013
CNAG_04360	2957	1894	2139	322	284	276	1137	1260	1322	530	537	565	891.79	1240	544	0.439	-1.189	1.07658576104475e-18	1.39770530701155e-17	0.0036	0.0196	0.0111	0.0111	TRUE	0.0644
CNAG_06420	4702	2688	3029	486	454	457	1808	1788	1872	800	858	935	1343.62	1823	864	0.474	-1.078	1.22234627284964e-18	1.57787441735277e-17	6e-04	0.0178	0.0096	0.0096	TRUE	0.0585
CNAG_07941	7588	4220	4839	941	793	693	2918	2807	2991	1549	1499	1418	2197.01	2905	1489	0.513	-0.964	1.24840732104537e-18	1.60845178987157e-17	7e-04	0.0164	0.0079	0.0079	TRUE	0.0203
CNAG_05980	9044	4497	5438	927	825	811	3478	2991	3361	1526	1560	1659	2429.23	3277	1582	0.482	-1.052	1.29044783717964e-18	1.65946204792532e-17	0.0039	0.0162	0.0096	0.0096	TRUE	0.0708
CNAG_02415	6067	3391	2776	505	428	400	2333	2255	1716	831	809	818	1460.56	2101	819	0.39	-1.359	1.48432326381497e-18	1.89797335073095e-17	0.0143	0.0175	0.0159	0.0159	TRUE	0.3129
CNAG_05904	45227	15348	17301	1686	1758	1990	17395	10208	10694	2775	3324	4071	8077.77	12766	3390	0.265	-1.913	1.67960106481938e-18	2.1395970707295e-17	0.0676	0.0149	0.034	0.034	TRUE	1.2322
CNAG_04962	5693	4182	4436	688	582	495	2190	2781	2742	1132	1100	1013	1826.4	2571	1082	0.421	-1.248	2.06618037736368e-18	2.61729054530723e-17	0.0105	0.0169	0.0137	0.0137	TRUE	0.2067
CNAG_01305	11242	7450	8472	1405	1237	1160	4324	4955	5237	2313	2339	2373	3589.97	4839	2342	0.484	-1.047	2.43379260145537e-18	3.07720381717594e-17	0.0043	0.0156	0.0099	0.0099	TRUE	0.1063
CNAG_01752	11325	7965	9001	1361	1235	1124	4356	5298	5564	2240	2335	2300	3681.9	5073	2292	0.452	-1.146	2.62011976050213e-18	3.30047427823846e-17	0.0076	0.0156	0.012	0.012	TRUE	0.1874
CNAG_02084	7308	4670	5182	942	768	651	2811	3106	3203	1550	1452	1332	2242.35	3040	1445	0.476	-1.072	3.47228073745204e-18	4.3256703231089e-17	0.0044	0.0164	0.0102	0.0102	TRUE	0.0548
CNAG_06096	12152	9069	9820	1415	1310	1207	4674	6032	6070	2329	2477	2469	4008.41	5592	2425	0.434	-1.205	4.28853539685615e-18	5.30354094607557e-17	0.0103	0.0155	0.0135	0.0135	TRUE	0.2529
CNAG_04976	16217	7202	9046	1448	1347	1236	6237	4790	5591	2383	2547	2529	4012.89	5539	2486	0.449	-1.156	4.47385777381827e-18	5.52264738309042e-17	0.0088	0.0155	0.0124	0.0124	TRUE	0.1301
CNAG_02076	8757	5421	4914	1015	844	806	3368	3606	3037	1671	1596	1649	2487.7	3337	1639	0.491	-1.026	7.97221786017656e-18	9.66506626805305e-17	0.0041	0.0162	0.0096	0.0096	TRUE	0.0749
CNAG_03875	4766	2910	3343	526	460	488	1833	1935	2066	866	870	998	1428.11	1945	911	0.468	-1.095	1.1508942610306e-17	1.38783103327479e-16	0.004	0.0176	0.0106	0.0106	TRUE	0.08
CNAG_04266	2623	1831	1835	297	237	241	1009	1218	1134	489	448	493	798.47	1120	477	0.426	-1.232	1.33865822238785e-17	1.61138308581216e-16	0.0057	0.0202	0.0128	0.0128	TRUE	0.0931
CNAG_02095	10961	7272	7487	1426	1082	911	4216	4837	4628	2347	2046	1864	3322.77	4560	2086	0.458	-1.128	1.38181694478088e-17	1.66038536077659e-16	0.0087	0.0157	0.0121	0.0121	TRUE	0.1454
CNAG_02948	16220	11331	10832	2009	1849	1662	6238	7536	6695	3307	3496	3400	5112.11	6823	3401	0.498	-1.004	1.65729305007362e-17	1.9843595406977e-16	0.0047	0.0152	0.0097	0.0097	TRUE	0.102
CNAG_06545	6910	3334	3516	561	530	546	2658	2217	2173	923	1002	1117	1681.8	2349	1014	0.431	-1.214	2.14130307654052e-17	2.54143799469617e-16	0.0101	0.0171	0.0137	0.0137	TRUE	0.1614
CNAG_00417	53556	30499	32610	6899	6239	5922	20598	20285	20156	11355	11795	12116	16051.02	20346	11755	0.578	-0.792	2.61456983610765e-17	3.08692330649852e-16	5e-04	0.0146	0.0062	0.0062	TRUE	0.0109
CNAG_01332	59093	17439	23220	2196	2077	2476	22728	11599	14352	3614	3927	5066	10214.3	16226	4202	0.259	-1.949	2.82116893675615e-17	3.31928157715216e-16	0.0801	0.0148	0.0381	0.0381	TRUE	0.4063
CNAG_00172	1737	601	730	75	50	62	668	400	451	123	95	127	310.64	506	115	0.227	-2.141	2.92787587736238e-17	3.43885872112389e-16	0.049	0.0294	0.0377	0.0377	TRUE	0.718
CNAG_00063	1889	1172	1424	208	148	129	727	780	880	342	280	264	545.38	796	295	0.372	-1.425	5.28409603719104e-17	6.18485644974848e-16	0.0112	0.0229	0.0173	0.0173	TRUE	0.2132
CNAG_03977	2199	1397	1646	246	209	192	846	929	1017	405	395	393	664.19	931	398	0.428	-1.226	5.8241967067133e-17	6.78188678374502e-16	0.005	0.0214	0.0128	0.0128	TRUE	0.0802
CNAG_01153	74279	22629	26405	2683	2889	2914	28568	15051	16321	4416	5462	5962	12629.97	19980	5280	0.264	-1.92	5.83554689304375e-17	6.7834479063735e-16	0.0808	0.0147	0.0378	0.0378	TRUE	1.7316
CNAG_04227	3221	1872	1881	366	317	274	1239	1245	1163	602	599	561	901.48	1216	587	0.484	-1.048	8.43161986491612e-17	9.70137314508261e-16	0	0.0195	0.0096	0.0096	TRUE	0.0176
CNAG_02000	7159	3266	3393	570	559	462	2753	2172	2097	938	1057	945	1660.52	2341	980	0.418	-1.257	8.77336074710355e-17	1.00774687768001e-15	0.013	0.0171	0.0154	0.0154	TRUE	0.291
CNAG_02814	40228	22899	18264	3386	3143	3069	15472	15230	11289	5573	5942	6279	9964.25	13997	5931	0.424	-1.239	8.90879899959196e-17	1.02157243350651e-15	0.0157	0.0148	0.0158	0.0158	TRUE	0.3504
CNAG_00250	5249	3121	2732	552	456	432	2019	2076	1689	909	862	884	1406.29	1928	885	0.459	-1.123	9.09008909481746e-17	1.03884542656961e-15	0.0067	0.0176	0.012	0.012	TRUE	0.1425
CNAG_03426	3176	1892	1736	298	300	247	1222	1258	1073	490	567	505	852.65	1184	521	0.44	-1.185	9.3163916202307e-17	1.06291558939905e-15	0.0053	0.0198	0.0126	0.0126	TRUE	0.0812
CNAG_01404	17392	8640	9929	1742	1725	1574	6689	5746	6137	2867	3261	3220	4653.59	6191	3116	0.503	-0.991	9.70260416574939e-17	1.10326423542422e-15	0.005	0.0153	0.0099	0.0099	TRUE	0.0608
CNAG_01568	15132	9728	9992	2038	1835	1591	5820	6470	6176	3354	3469	3255	4757.47	6155	3359	0.546	-0.873	1.03696730057114e-16	1.17714026733176e-15	0.0016	0.0153	0.0077	0.0077	TRUE	0.0279
CNAG_02327	5500	3280	3533	718	610	559	2115	2182	2184	1182	1153	1144	1659.89	2160	1160	0.537	-0.897	1.17876212937405e-16	1.33363454937696e-15	0	0.0171	0.0075	0.0075	TRUE	0.0041
CNAG_00813	547	603	1047	25	22	28	210	401	647	41	42	57	233.1	419	47	0.111	-3.172	1.52518066574184e-16	1.70845444160867e-15	0.1707	0.0345	0.0858	0.0858	TRUE	0.0812
CNAG_00002	863	812	948	68	55	58	332	540	586	112	104	119	298.75	486	112	0.23	-2.122	1.57198154692655e-16	1.7579734230233e-15	0.0501	0.03	0.0388	0.0388	TRUE	0.8364
CNAG_06087	3863	1837	1907	351	289	255	1486	1222	1179	578	546	522	922.01	1296	549	0.424	-1.239	1.79961020624869e-16	2.00591420522161e-15	0.0095	0.0194	0.0144	0.0144	TRUE	0.2024
CNAG_00058	12793	7207	7929	1473	1400	1363	4920	4793	4901	2424	2647	2789	3745.75	4871	2620	0.538	-0.895	1.81529809180475e-16	2.02007802432854e-15	0.0016	0.0156	0.0081	0.0081	TRUE	0.0518
CNAG_06900	39922	24577	23256	4839	4501	4209	15354	16346	14375	7965	8509	8611	11860.12	15358	8362	0.544	-0.877	1.91099246947366e-16	2.11614313163775e-15	0.0028	0.0147	0.0081	0.0081	TRUE	0.0387
CNAG_06993	7858	5523	5490	979	815	846	3022	3673	3393	1611	1541	1731	2495.34	3363	1628	0.484	-1.047	2.12419634740893e-16	2.34076075551062e-15	0.0058	0.0162	0.011	0.011	TRUE	0.0964
CNAG_00904	2277	926	972	138	118	101	876	616	601	227	223	207	458.22	698	219	0.314	-1.672	2.14571722869814e-16	2.35681128993311e-15	0.026	0.0245	0.0252	0.0252	TRUE	0.6085
CNAG_01435	15795	10207	10098	2034	1778	1768	6075	6789	6242	3348	3361	3617	4905.28	6369	3442	0.54	-0.888	2.47284848504723e-16	2.70734962571326e-15	0.0024	0.0153	0.0081	0.0081	TRUE	0.0407
