Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_05912	1526	1223	1355	1838	2414	1662	1082	1488	1533	2022	1920	1975	1670.04	1368	1972	1.444	0.53	0.000870506391744887	0.00696155646363543	0.0159	0.0177	0.0176	0.0176	TRUE	0.4097
CNAG_03955	1356	831	840	1116	1509	1080	962	1011	950	1228	1200	1283	1105.73	974	1237	1.27	0.344	0.000883833114311011	0.00704366178761137	0	0.0194	0.0068	0.0068	TRUE	0.0126
CNAG_03389	4775	3412	5030	5964	8922	5691	3386	4151	5691	6560	7098	6762	5608.15	4409	6807	1.544	0.627	0.0009275299104489	0.00730604860936636	0.036	0.0155	0.0256	0.0256	TRUE	0.7875
CNAG_06516	763	216	291	687	892	515	541	263	329	756	710	612	535.06	378	693	1.827	0.869	0.000925165702524905	0.00730604860936636	0.0721	0.0245	0.0476	0.0476	TRUE	1.6893
CNAG_07973	221	101	117	204	283	169	157	123	132	224	225	201	177.05	137	217	1.571	0.652	0.000926521754912028	0.00730604860936636	0.0039	0.0444	0.0219	0.0219	TRUE	0.1762
CNAG_06472	3489	1814	2398	2977	4081	2627	2474	2207	2713	3275	3247	3121	2839.52	2465	3214	1.304	0.383	0.000934756622202882	0.00735443087213451	0.0051	0.0164	0.0093	0.0093	TRUE	0.0999
CNAG_04606	1330	559	582	987	1422	985	943	680	659	1086	1131	1170	944.85	761	1129	1.481	0.567	0.000937734178683666	0.00736109887237256	0.0208	0.0202	0.02	0.02	TRUE	0.5356
CNAG_00627	673	381	488	722	840	546	477	464	552	794	668	649	600.69	498	704	1.414	0.5	0.000954590015385987	0.00747578462395816	0.0083	0.0234	0.0148	0.0148	TRUE	0.1478
CNAG_04091	484	246	283	446	580	346	343	299	320	491	461	411	387.64	321	454	1.414	0.499	0.00095841243752488	0.0074970624582396	0.0037	0.0282	0.0138	0.0138	TRUE	0.0771
CNAG_03650	47	25	39	76	82	65	33	30	44	84	65	77	55.66	36	75	2.095	1.067	0.000986420653559512	0.00769839455977055	0	0.1096	0.0548	0.0548	TRUE	0.2552
CNAG_05548	273	146	192	266	411	224	194	178	217	293	327	266	245.7	196	295	1.508	0.593	0.000995705575737289	0.00771757167388605	0.006	0.0361	0.0191	0.0191	TRUE	0.1042
CNAG_05998	1432	750	1008	1252	1753	1113	1015	912	1141	1377	1395	1322	1193.79	1023	1365	1.334	0.416	0.000994478621393301	0.00771757167388605	0.0053	0.019	0.0106	0.0106	TRUE	0.1181
CNAG_07724	4616	2910	3030	3606	5619	3884	3273	3540	3428	3966	4470	4615	3882.32	3414	4350	1.275	0.35	0.00101711847262324	0.00784766493894291	0.0034	0.0159	0.0079	0.0079	TRUE	0.0724
CNAG_03542	5377	2945	2942	4033	5697	3729	3813	3583	3329	4436	4532	4431	4020.69	3575	4466	1.249	0.321	0.00103561768060475	0.00796321894542111	0.002	0.0159	0.0066	0.0066	TRUE	0.0441
CNAG_03973	3533	2344	2226	2900	4201	2995	2505	2852	2519	3190	3342	3559	2994.43	2625	3364	1.282	0.358	0.00104539294299871	0.00802019789526837	0.0038	0.0163	0.0082	0.0082	TRUE	0.0685
CNAG_01577	52090	27314	32904	39556	54710	38413	36938	33232	37230	43510	43525	45643	40013.03	35800	44226	1.235	0.305	0.00106208555160431	0.00812070373278515	0.0023	0.0147	0.0062	0.0062	TRUE	0.0482
CNAG_03234	597	296	308	451	694	456	423	360	348	496	552	542	453.67	377	530	1.401	0.486	0.0010886870288958	0.00830537168725679	0.0051	0.0262	0.0137	0.0137	TRUE	0.1394
CNAG_04504	4034	2187	1815	3320	4335	2935	2861	2661	2054	3652	3449	3487	3027.18	2525	3529	1.397	0.482	0.00108779334079486	0.00830537168725679	0.0138	0.0163	0.0154	0.0154	TRUE	0.3225
CNAG_03674	26684	15558	13974	20812	28988	19204	18922	18929	15811	22892	23061	22819	20405.8	17887	22924	1.282	0.358	0.00110616062099461	0.00841703614090862	0.005	0.0148	0.0086	0.0086	TRUE	0.126
CNAG_00867	35	33	31	59	99	58	25	40	35	65	79	69	52.1	33	71	2.161	1.112	0.00111129225226952	0.00843137403860992	0	0.116	0.0613	0.0613	TRUE	0.4518
CNAG_04725	1986	1437	1498	1769	3189	1983	1408	1748	1695	1946	2537	2356	1948.45	1617	2280	1.411	0.497	0.00111141969780555	0.00843137403860992	0.0144	0.0173	0.0162	0.0162	TRUE	0.1986
CNAG_00720	1599	933	1086	1273	1902	1293	1134	1135	1229	1400	1513	1536	1324.6	1166	1483	1.273	0.348	0.00114717154836061	0.00864457493442406	0.0015	0.0186	0.0075	0.0075	TRUE	0.0286
CNAG_04396	555	332	487	592	831	564	394	404	551	651	661	670	555.16	450	661	1.472	0.558	0.00115126413169103	0.00866578617217379	0.0165	0.0241	0.0193	0.0193	TRUE	0.4466
CNAG_03394	759	457	488	636	894	598	538	556	552	700	711	711	627.96	549	707	1.289	0.367	0.00115613965852913	0.0086928372108033	0	0.023	0.0075	0.0075	TRUE	0.0036
CNAG_05818	4879	3823	3049	4702	6830	4641	3460	4651	3450	5172	5434	5515	4613.53	3854	5374	1.395	0.48	0.0011610854002924	0.00871587588287564	0.0163	0.0157	0.0155	0.0155	TRUE	0.3974
CNAG_06761	285	140	215	288	420	248	202	170	243	317	334	295	260.22	205	315	1.537	0.62	0.00116177407816567	0.00871587588287564	0.011	0.0349	0.0222	0.0222	TRUE	0.2697
CNAG_05344	3339	1648	1896	2470	3825	2292	2368	2005	2145	2717	3043	2723	2500.23	2173	2828	1.301	0.38	0.00118165876147922	0.00883046349107889	0.0051	0.0167	0.0095	0.0095	TRUE	0.0759
CNAG_07781	1545	1168	1019	1430	2168	1453	1096	1421	1153	1573	1725	1726	1448.97	1223	1675	1.371	0.455	0.00118225609700673	0.00883046349107889	0.0104	0.0182	0.0135	0.0135	TRUE	0.2377
CNAG_03724	5839	3287	4176	4948	6779	4603	4141	3999	4725	5443	5393	5469	4861.64	4288	5435	1.267	0.342	0.00119417972749332	0.00890369983600163	0.0037	0.0157	0.0078	0.0078	TRUE	0.0962
CNAG_04052	1628	1026	1314	1468	2334	1574	1154	1248	1487	1615	1857	1870	1538.56	1296	1781	1.375	0.459	0.00127350629130134	0.00938795616044099	0.011	0.018	0.0139	0.0139	TRUE	0.1976
CNAG_01781	777	232	363	661	951	541	551	282	411	727	757	643	561.74	415	709	1.705	0.769	0.00130003477356671	0.00957311165508079	0.0531	0.024	0.0393	0.0393	TRUE	0.384
CNAG_03387	778	392	659	842	1067	765	552	477	746	926	849	909	743.05	592	895	1.513	0.597	0.00131898091116364	0.00969158021615581	0.0264	0.0217	0.0235	0.0235	TRUE	0.6007
CNAG_02437	4579	2950	3424	4255	5447	3965	3247	3589	3874	4680	4333	4711	4072.57	3570	4575	1.282	0.358	0.00132265113172512	0.00970803027636334	0.0045	0.0159	0.0087	0.0087	TRUE	0.0772
CNAG_00458	2282	1366	1891	2156	3121	2199	1618	1662	2140	2372	2483	2613	2147.86	1807	2489	1.378	0.463	0.00133228689450387	0.0097471086499733	0.0133	0.017	0.0145	0.0145	TRUE	0.3129
CNAG_06634	1507	958	1129	1391	1920	1245	1069	1166	1277	1530	1527	1479	1341.42	1171	1512	1.293	0.371	0.00136459541613841	0.00991927771945416	0.0034	0.0185	0.0089	0.0089	TRUE	0.0767
CNAG_05350	1223	381	525	1140	1344	792	867	464	594	1254	1069	941	864.85	642	1088	1.692	0.759	0.00137698153533102	0.00998790243060428	0.0601	0.0207	0.0393	0.0393	TRUE	1.0069
CNAG_06649	581	546	545	725	1173	764	412	664	617	797	933	908	721.9	564	879	1.563	0.644	0.00138523976108004	0.0100156674409859	0.033	0.0219	0.0278	0.0278	TRUE	0.6777
CNAG_07971	1208	697	986	1065	1763	1290	857	848	1116	1171	1403	1533	1154.52	940	1369	1.457	0.543	0.00139842252397094	0.0100894697420967	0.0207	0.0192	0.0199	0.0199	TRUE	0.3157
CNAG_03037	1957	1148	1405	1606	2426	1622	1388	1397	1590	1767	1930	1927	1666.34	1458	1875	1.286	0.363	0.00140378243502889	0.0101173777623442	0.0034	0.0178	0.0087	0.0087	TRUE	0.0745
CNAG_06607	2041	1527	1554	2008	2795	1953	1447	1858	1758	2209	2224	2321	1969.39	1688	2251	1.335	0.417	0.00141963500985532	0.0102207692535444	0.0076	0.0173	0.0118	0.0118	TRUE	0.1915
CNAG_06749	337	209	277	365	455	355	239	254	313	401	362	422	331.99	269	395	1.471	0.557	0.00143247883735269	0.0103023027305683	0.0099	0.0305	0.0188	0.0188	TRUE	0.2313
CNAG_05025	829	483	567	669	1018	741	588	588	642	736	810	880	707.21	606	809	1.336	0.417	0.00145257103699062	0.0103917054566143	0.0038	0.0221	0.0109	0.0109	TRUE	0.0721
CNAG_04707	106	64	115	155	201	160	75	78	130	170	160	190	133.94	94	173	1.845	0.883	0.00147437495973699	0.0105365763719034	0.0407	0.054	0.0473	0.0473	TRUE	1.0221
CNAG_01163	1173	828	919	1091	1669	1154	832	1007	1040	1200	1328	1371	1129.68	960	1300	1.356	0.44	0.00148562447763161	0.0106057949550501	0.0086	0.0193	0.0129	0.0129	TRUE	0.1678
CNAG_06997	2948	1805	2137	2703	3399	2387	2091	2196	2418	2973	2704	2836	2536.35	2235	2838	1.27	0.345	0.00150916976904927	0.0107287100353167	0.0033	0.0167	0.0081	0.0081	TRUE	0.0622
CNAG_03246	1586	1013	1382	1601	2297	1583	1125	1232	1564	1761	1827	1881	1565.04	1307	1823	1.396	0.481	0.00152158639204732	0.0108056533098062	0.0149	0.018	0.0159	0.0159	TRUE	0.354
CNAG_03731	934	581	780	908	1348	882	662	707	883	999	1072	1048	895.16	751	1040	1.387	0.472	0.00153744533643849	0.0108954590091179	0.011	0.0205	0.0148	0.0148	TRUE	0.2786
CNAG_00597	2419	912	1317	2031	2463	1819	1715	1110	1490	2234	1959	2161	1778.33	1438	2118	1.471	0.557	0.00157123948935635	0.0111001523091821	0.024	0.0176	0.0218	0.0218	TRUE	0.4772
CNAG_00815	2818	1436	1367	2285	2974	1877	1998	1747	1547	2513	2366	2230	2066.97	1764	2370	1.342	0.425	0.00157591035623243	0.0111215650738484	0.0093	0.0171	0.0125	0.0125	TRUE	0.1658
CNAG_01059	1498	911	750	1424	1847	1042	1062	1108	849	1566	1469	1238	1215.52	1006	1424	1.416	0.501	0.00159737034120467	0.011249600886864	0.0152	0.0189	0.0173	0.0173	TRUE	0.2221
CNAG_04945	526	343	422	595	722	469	373	417	477	654	574	557	508.99	422	595	1.412	0.497	0.00161089109038552	0.0113330532935629	0.0093	0.025	0.0159	0.0159	TRUE	0.1492
CNAG_07865	2574	1471	1809	2078	3012	2092	1825	1790	2047	2286	2396	2486	2138.25	1887	2389	1.266	0.34	0.00161533838877185	0.0113491999973621	0.0029	0.0171	0.0079	0.0079	TRUE	0.0654
CNAG_06666	16949	10187	5665	15074	24337	13200	12019	12394	6410	16581	19361	15685	13741.6	10274	17209	1.675	0.744	0.00166104861410104	0.0116016804334019	0.0593	0.015	0.0403	0.0403	TRUE	1.3221
CNAG_03051	711	492	522	704	931	617	504	599	591	774	741	733	656.93	565	749	1.331	0.412	0.00170912210632585	0.0119006839066755	0.0035	0.0226	0.0109	0.0109	TRUE	0.1087
CNAG_03578	1259	601	819	1006	1510	948	893	731	927	1107	1201	1126	997.49	850	1145	1.346	0.428	0.00171308312011452	0.0119160304826838	0.007	0.0199	0.0124	0.0124	TRUE	0.1734
CNAG_03374	358	200	310	404	542	339	254	243	351	444	431	403	354.39	283	426	1.51	0.595	0.00172350617989441	0.0119762488852908	0.0174	0.0295	0.023	0.023	TRUE	0.4867
CNAG_01049	2483	1212	1822	2312	3041	1971	1761	1475	2062	2543	2419	2342	2100.21	1766	2435	1.379	0.463	0.00174502036101004	0.0120762531513981	0.014	0.0171	0.0153	0.0153	TRUE	0.2566
CNAG_04415	727	422	496	643	891	552	516	513	561	707	709	656	610.36	530	691	1.304	0.383	0.00174965211433944	0.0120959639545872	0	0.0232	0.0091	0.0091	TRUE	0.0301
CNAG_03318	135	75	113	142	213	168	96	91	128	156	169	200	140.02	105	175	1.67	0.74	0.00176203049016167	0.0121691352182041	0.0147	0.0523	0.0326	0.0326	TRUE	0.3411
CNAG_04518	623	394	531	608	921	640	442	479	601	669	733	760	613.98	507	721	1.423	0.509	0.00179176686916508	0.0123392955576845	0.013	0.0232	0.0174	0.0174	TRUE	0.3011
CNAG_04742	1017	634	766	921	1325	851	721	771	867	1013	1054	1011	906.27	786	1026	1.307	0.386	0.00179212711948087	0.0123392955576845	0.0034	0.0204	0.0099	0.0099	TRUE	0.0945
CNAG_00975	256	192	368	341	781	605	182	234	416	375	621	719	424.47	277	572	2.067	1.047	0.00182692097954438	0.0125317661528183	0.143	0.027	0.0787	0.0787	TRUE	0.8655
CNAG_06546	35	24	48	77	104	63	25	29	54	85	83	75	58.44	36	81	2.262	1.177	0.00182932003705251	0.0125317661528183	0.0583	0.105	0.0824	0.0824	TRUE	1.3296
CNAG_04507	1448	754	827	1115	1505	1027	1027	917	936	1226	1197	1220	1087.33	960	1214	1.263	0.337	0.00184868013791073	0.0126516132142387	0.0011	0.0194	0.0075	0.0075	TRUE	0.0462
CNAG_01541	652	483	482	627	996	600	462	588	545	690	792	713	631.72	532	732	1.38	0.465	0.00186513440472517	0.0127385111106204	0.0086	0.0229	0.0145	0.0145	TRUE	0.1608
CNAG_02826	886	518	606	768	1031	688	628	630	686	845	820	817	737.78	648	827	1.278	0.353	0.001889786050358	0.012868000997518	0	0.0217	0.0079	0.0079	TRUE	0.0298
CNAG_03437	960	370	584	856	1110	710	681	450	661	942	883	844	743.33	597	890	1.487	0.572	0.00192146979736093	0.013057523212126	0.0243	0.0217	0.0231	0.0231	TRUE	0.5326
CNAG_05401	3045	1823	2147	2612	3414	2408	2159	2218	2429	2873	2716	2861	2542.82	2269	2817	1.242	0.312	0.00192985101863566	0.013088249608387	0.0018	0.0167	0.0069	0.0069	TRUE	0.0462
CNAG_07471	144	127	161	243	293	207	102	155	182	267	233	246	197.52	146	249	1.711	0.775	0.00196666738078221	0.0132583878493687	0.0381	0.0413	0.0397	0.0397	TRUE	0.8098
CNAG_04370	4654	3627	3900	5047	6605	4810	3300	4413	4413	5552	5255	5715	4774.55	4042	5507	1.363	0.447	0.00199160140407737	0.0133998419865603	0.0132	0.0157	0.0148	0.0148	TRUE	0.3162
CNAG_03192	644	396	449	539	802	586	457	482	508	593	638	696	562.29	482	642	1.333	0.415	0.00200673649863031	0.0134661045029894	0.0029	0.024	0.0112	0.0112	TRUE	0.0612
CNAG_00235	1573	979	1433	1488	2552	1852	1115	1191	1621	1637	2030	2201	1632.59	1309	1956	1.495	0.58	0.00204461965088578	0.0136751582567134	0.0317	0.0178	0.0248	0.0248	TRUE	0.5208
CNAG_04259	3348	1757	2487	3030	4057	2660	2374	2138	2814	3333	3228	3161	2841.15	2442	3241	1.327	0.408	0.00204377599359108	0.0136751582567134	0.0097	0.0164	0.0123	0.0123	TRUE	0.2136
CNAG_00814	877	719	862	930	1746	1258	622	875	975	1023	1389	1495	1063.13	824	1302	1.583	0.662	0.00207257312525377	0.0138212300250453	0.0445	0.0196	0.0323	0.0323	TRUE	0.5601
CNAG_04289	3550	1909	2443	2965	4199	2572	2517	2323	2764	3261	3341	3056	2877.04	2535	3219	1.27	0.345	0.00210334709286809	0.0139851960625798	0.0043	0.0164	0.0087	0.0087	TRUE	0.0751
CNAG_00796	5140	3002	2285	4297	5848	3744	3645	3652	2585	4727	4652	4449	3951.73	3294	4609	1.399	0.484	0.00210701093190423	0.0139958355927272	0.0175	0.0159	0.0176	0.0176	TRUE	0.4293
CNAG_02654	1991	1518	1378	1896	2630	1890	1412	1847	1559	2086	2092	2246	1873.58	1606	2141	1.334	0.416	0.00213142417881095	0.0141303213887545	0.0096	0.0174	0.0127	0.0127	TRUE	0.2064
CNAG_06916	858	323	533	725	971	721	608	393	603	797	772	857	671.86	535	809	1.509	0.594	0.0021345289958383	0.0141370855954838	0.028	0.0224	0.0254	0.0254	TRUE	0.6135
CNAG_02264	666	372	265	566	814	502	472	453	300	623	648	596	515.23	408	622	1.522	0.606	0.00215653266378555	0.0142410949618243	0.0272	0.0248	0.0261	0.0261	TRUE	0.6117
CNAG_06865	666	253	446	584	878	541	472	308	505	642	698	643	544.74	428	661	1.542	0.625	0.00215613298603647	0.0142410949618243	0.0313	0.0243	0.0279	0.0279	TRUE	0.6774
CNAG_00333	2078	1163	1342	1558	2441	1570	1474	1415	1518	1714	1942	1866	1654.69	1469	1841	1.253	0.326	0.00217538214878199	0.0143376498863357	0.0021	0.0178	0.0075	0.0075	TRUE	0.0437
CNAG_07957	1664	878	1236	1395	2142	1400	1180	1068	1399	1534	1704	1664	1424.79	1216	1634	1.345	0.427	0.0021781133408457	0.0143417132792384	0.0099	0.0183	0.0133	0.0133	TRUE	0.2049
CNAG_03076	239	143	191	224	370	250	169	174	216	246	294	297	232.9	186	279	1.501	0.586	0.0021818846152164	0.0143526105338484	0.0095	0.0373	0.0218	0.0218	TRUE	0.2019
CNAG_00593	1586	898	943	1302	1601	1267	1125	1093	1067	1432	1274	1505	1249.25	1095	1404	1.281	0.357	0.00221080564413308	0.014514698817532	0.0034	0.0188	0.009	0.009	TRUE	0.0808
CNAG_00010	2386	1388	1909	2062	3257	2285	1692	1689	2160	2268	2591	2715	2185.83	1847	2525	1.367	0.452	0.00222142625874837	0.0145703219408428	0.0143	0.017	0.0152	0.0152	TRUE	0.2645
CNAG_02579	2252	1594	1538	2057	2701	2011	1597	1939	1740	2263	2149	2390	2012.91	1759	2267	1.29	0.367	0.00233192477078174	0.0151922322722783	0.0054	0.0172	0.01	0.01	TRUE	0.0968
CNAG_06217	249	164	174	300	328	217	177	200	197	330	261	258	236.96	191	283	1.484	0.569	0.00236258037427239	0.0153771785972316	0.0089	0.0369	0.0208	0.0208	TRUE	0.2339
CNAG_04256	1251	683	663	1020	1292	884	887	831	750	1122	1028	1050	944.74	823	1067	1.295	0.373	0.0024312038293464	0.0157482563234262	0.0035	0.0202	0.0098	0.0098	TRUE	0.0705
CNAG_01098	1585	991	1400	1724	2171	1545	1124	1206	1584	1896	1727	1836	1562.17	1305	1820	1.396	0.481	0.00243689040069781	0.0157700292915387	0.0178	0.018	0.0175	0.0175	TRUE	0.4206
CNAG_01653	16	5	7	28	30	24	11	6	8	31	24	29	18.09	8	28	3.188	1.672	0.00247089688845944	0.0159518290260133	0	0.3068	0.1441	0.1441	TRUE	0.3908
CNAG_02336	1055	808	1143	1352	1900	1344	748	983	1293	1487	1512	1597	1270.02	1008	1532	1.521	0.605	0.00250723746761708	0.016117615644909	0.0363	0.0187	0.0281	0.0281	TRUE	0.4291
CNAG_06242	3868	1897	2206	2737	4410	2695	2743	2308	2496	3011	3508	3202	2878.03	2516	3240	1.288	0.365	0.00251313407036246	0.0161402227890134	0.0062	0.0164	0.0101	0.0101	TRUE	0.0767
CNAG_02321	29	23	28	57	63	49	21	28	32	63	50	58	41.88	27	57	2.153	1.107	0.00257178198801893	0.0164429326579481	0	0.1408	0.0692	0.0692	TRUE	0.3444
CNAG_01982	855	373	542	702	963	666	606	454	613	772	766	791	667.17	558	776	1.39	0.475	0.00257970167537895	0.0164572627524596	0.0109	0.0225	0.0163	0.0163	TRUE	0.3016
CNAG_07921	1531	789	874	1142	1595	1085	1086	960	989	1256	1269	1289	1141.47	1012	1271	1.255	0.328	0.00258191205671145	0.0164572627524596	0.0014	0.0192	0.0076	0.0076	TRUE	0.0511
CNAG_07329	3123	1944	1983	2460	3419	2579	2215	2365	2244	2706	2720	3064	2552.3	2275	2830	1.244	0.315	0.00260235695255021	0.0165254539814565	0.0026	0.0166	0.0075	0.0075	TRUE	0.0632
CNAG_01611	360	176	226	309	397	323	255	214	256	340	316	384	294.11	242	347	1.428	0.514	0.00263668361688869	0.0166654131311641	0.0062	0.0326	0.0175	0.0175	TRUE	0.1038
CNAG_07685	695	299	381	535	791	490	493	364	431	588	629	582	514.62	429	600	1.394	0.479	0.0026399740007478	0.0166706738110536	0.0099	0.0249	0.0163	0.0163	TRUE	0.2034
CNAG_06460	5164	2520	2716	3778	5392	3391	3662	3066	3073	4156	4290	4029	3712.59	3267	4158	1.272	0.347	0.00265742464736304	0.0167405247259551	0.0056	0.016	0.0093	0.0093	TRUE	0.1374
